[34m[1mwandb[0m: [33mWARNING[0m Data passed to `wandb.Image` should consist of values in the range [0, 255], image data will be normalized to this range, but behavior will be removed in a future version of wandb.
Epoch 1/64 - train_loss: 0.1080, train_acc: 0.9656 - val_loss: 0.0504, val_acc: 0.9828
Epoch 2/64 - train_loss: 0.0408, train_acc: 0.9870 - val_loss: 0.0328, val_acc: 0.9890
Epoch 3/64 - train_loss: 0.0270, train_acc: 0.9919 - val_loss: 0.0320, val_acc: 0.9903
Epoch 4/64 - train_loss: 0.0207, train_acc: 0.9931 - val_loss: 0.0336, val_acc: 0.9898
Epoch 5/64 - train_loss: 0.0151, train_acc: 0.9951 - val_loss: 0.0397, val_acc: 0.9891
Epoch 6/64 - train_loss: 0.0127, train_acc: 0.9961 - val_loss: 0.0308, val_acc: 0.9919
Epoch 7/64 - train_loss: 0.0101, train_acc: 0.9964 - val_loss: 0.0359, val_acc: 0.9913
Epoch 8/64 - train_loss: 0.0085, train_acc: 0.9973 - val_loss: 0.0443, val_acc: 0.9901
Epoch 9/64 - train_loss: 0.0086, train_acc: 0.9972 - val_loss: 0.0405, val_acc: 0.9910
Epoch 10/64 - train_loss: 0.0083, train_acc: 0.9974 - val_loss: 0.0677, val_acc: 0.9873
Epoch 11/64 - train_loss: 0.0076, train_acc: 0.9978 - val_loss: 0.0610, val_acc: 0.9897
Epoch 12/64 - train_loss: 0.0066, train_acc: 0.9981 - val_loss: 0.0735, val_acc: 0.9899
Epoch 13/64 - train_loss: 0.0074, train_acc: 0.9979 - val_loss: 0.0414, val_acc: 0.9912
Epoch 14/64 - train_loss: 0.0053, train_acc: 0.9985 - val_loss: 0.0589, val_acc: 0.9897
Epoch 15/64 - train_loss: 0.0063, train_acc: 0.9981 - val_loss: 0.0691, val_acc: 0.9895
Epoch 16/64 - train_loss: 0.0067, train_acc: 0.9983 - val_loss: 0.0539, val_acc: 0.9912
Epoch 17/64 - train_loss: 0.0071, train_acc: 0.9982 - val_loss: 0.0725, val_acc: 0.9895
Epoch 18/64 - train_loss: 0.0049, train_acc: 0.9986 - val_loss: 0.0568, val_acc: 0.9909
Epoch 19/64 - train_loss: 0.0059, train_acc: 0.9985 - val_loss: 0.0802, val_acc: 0.9902
Epoch 20/64 - train_loss: 0.0065, train_acc: 0.9986 - val_loss: 0.0697, val_acc: 0.9894
Epoch 21/64 - train_loss: 0.0052, train_acc: 0.9987 - val_loss: 0.0753, val_acc: 0.9898
Epoch 22/64 - train_loss: 0.0055, train_acc: 0.9988 - val_loss: 0.0883, val_acc: 0.9903
Epoch 23/64 - train_loss: 0.0067, train_acc: 0.9987 - val_loss: 0.0928, val_acc: 0.9895
Epoch 24/64 - train_loss: 0.0045, train_acc: 0.9990 - val_loss: 0.0728, val_acc: 0.9918
Epoch 25/64 - train_loss: 0.0065, train_acc: 0.9989 - val_loss: 0.0935, val_acc: 0.9901
Epoch 26/64 - train_loss: 0.0058, train_acc: 0.9987 - val_loss: 0.1128, val_acc: 0.9891
Epoch 27/64 - train_loss: 0.0041, train_acc: 0.9990 - val_loss: 0.0881, val_acc: 0.9899
Epoch 28/64 - train_loss: 0.0065, train_acc: 0.9986 - val_loss: 0.0833, val_acc: 0.9908
Epoch 29/64 - train_loss: 0.0050, train_acc: 0.9991 - val_loss: 0.1039, val_acc: 0.9901
Epoch 30/64 - train_loss: 0.0068, train_acc: 0.9987 - val_loss: 0.0858, val_acc: 0.9908
Epoch 31/64 - train_loss: 0.0032, train_acc: 0.9993 - val_loss: 0.0860, val_acc: 0.9901
Epoch 32/64 - train_loss: 0.0082, train_acc: 0.9987 - val_loss: 0.0797, val_acc: 0.9933
Epoch 33/64 - train_loss: 0.0034, train_acc: 0.9994 - val_loss: 0.0918, val_acc: 0.9900
Epoch 34/64 - train_loss: 0.0061, train_acc: 0.9989 - val_loss: 0.1333, val_acc: 0.9909
Epoch 35/64 - train_loss: 0.0049, train_acc: 0.9991 - val_loss: 0.1562, val_acc: 0.9900
Epoch 36/64 - train_loss: 0.0076, train_acc: 0.9989 - val_loss: 0.1203, val_acc: 0.9914
Epoch 37/64 - train_loss: 0.0063, train_acc: 0.9990 - val_loss: 0.1381, val_acc: 0.9909
Epoch 38/64 - train_loss: 0.0059, train_acc: 0.9990 - val_loss: 0.1128, val_acc: 0.9914
Epoch 39/64 - train_loss: 0.0068, train_acc: 0.9990 - val_loss: 0.1385, val_acc: 0.9907
Epoch 40/64 - train_loss: 0.0046, train_acc: 0.9993 - val_loss: 0.1254, val_acc: 0.9918
Epoch 41/64 - train_loss: 0.0036, train_acc: 0.9994 - val_loss: 0.1590, val_acc: 0.9900
Epoch 42/64 - train_loss: 0.0044, train_acc: 0.9992 - val_loss: 0.1528, val_acc: 0.9903
Epoch 43/64 - train_loss: 0.0078, train_acc: 0.9991 - val_loss: 0.1574, val_acc: 0.9908
Epoch 44/64 - train_loss: 0.0059, train_acc: 0.9992 - val_loss: 0.1947, val_acc: 0.9906
Epoch 45/64 - train_loss: 0.0074, train_acc: 0.9990 - val_loss: 0.1296, val_acc: 0.9917
Epoch 46/64 - train_loss: 0.0055, train_acc: 0.9993 - val_loss: 0.1657, val_acc: 0.9899
Epoch 47/64 - train_loss: 0.0059, train_acc: 0.9990 - val_loss: 0.1668, val_acc: 0.9917
Epoch 48/64 - train_loss: 0.0057, train_acc: 0.9993 - val_loss: 0.1865, val_acc: 0.9912
Epoch 49/64 - train_loss: 0.0063, train_acc: 0.9990 - val_loss: 0.1534, val_acc: 0.9916
Epoch 50/64 - train_loss: 0.0057, train_acc: 0.9993 - val_loss: 0.1509, val_acc: 0.9907
Epoch 51/64 - train_loss: 0.0061, train_acc: 0.9993 - val_loss: 0.1349, val_acc: 0.9901
Epoch 52/64 - train_loss: 0.0038, train_acc: 0.9995 - val_loss: 0.1543, val_acc: 0.9909
Epoch 53/64 - train_loss: 0.0088, train_acc: 0.9991 - val_loss: 0.1675, val_acc: 0.9903
Epoch 54/64 - train_loss: 0.0041, train_acc: 0.9994 - val_loss: 0.1963, val_acc: 0.9901
Epoch 55/64 - train_loss: 0.0051, train_acc: 0.9993 - val_loss: 0.2360, val_acc: 0.9896
Epoch 56/64 - train_loss: 0.0088, train_acc: 0.9992 - val_loss: 0.1737, val_acc: 0.9913
Epoch 57/64 - train_loss: 0.0044, train_acc: 0.9995 - val_loss: 0.1934, val_acc: 0.9901
Epoch 58/64 - train_loss: 0.0057, train_acc: 0.9994 - val_loss: 0.2018, val_acc: 0.9904
Epoch 59/64 - train_loss: 0.0059, train_acc: 0.9994 - val_loss: 0.2015, val_acc: 0.9911
Epoch 60/64 - train_loss: 0.0050, train_acc: 0.9995 - val_loss: 0.2608, val_acc: 0.9907
Epoch 61/64 - train_loss: 0.0080, train_acc: 0.9994 - val_loss: 0.2525, val_acc: 0.9911
Epoch 62/64 - train_loss: 0.0083, train_acc: 0.9992 - val_loss: 0.2481, val_acc: 0.9908
Epoch 63/64 - train_loss: 0.0048, train_acc: 0.9994 - val_loss: 0.2235, val_acc: 0.9917
Epoch 64/64 - train_loss: 0.0053, train_acc: 0.9994 - val_loss: 0.2471, val_acc: 0.9906
